,Substructure,Frequency0,Frequency1,Frequency2
433,CC(C)(S)CC(=O)O,0.0,0.0,2.0
434,CC(C)(S)CNC=O,0.0,0.0,2.0
435,CCSC(C)C,0.0,0.0,2.0
436,CC(C)SCNC=O,0.0,0.0,2.0
437,CC(C)C(NC=O)C(=O)O,0.0,0.0,2.0
438,CC(C)CN(C)C=O,0.0,0.0,2.0
439,CC(=O)NCC(C)C,0.0,0.0,2.0
440,CC1CN(C=O)CS1,0.0,0.0,2.0
441,CSC(C)CC(=O)O,0.0,0.0,2.0
442,CC(S)C(NC=O)C(=O)O,0.0,0.0,2.0
443,CC(=O)NCC(C)S,0.0,0.0,2.0
444,CCSC1CC(=O)N1,0.0,0.0,3.0
445,CCSCCNC=O,0.0,0.0,3.0
446,CCC(C(=O)O)N(C)C=O,0.0,0.0,2.0
447,CCC(NC(C)=O)C(=O)O,0.0,0.0,2.0
448,CCCN1CCC1=O,0.0,0.0,2.0
449,CCCNC(=O)CNC=O,0.0,0.0,2.0
450,O=C1CC2SCCN12,0.0,0.0,2.0
451,CCSCCC(=O)O,0.0,0.0,2.0
452,O=CN1CSCC1C(=O)O,0.0,0.0,2.0
453,CC(=O)NC(CS)C(=O)O,0.0,0.0,2.0
454,O=CNCC(=O)NCCS,0.0,0.0,2.0
455,CSC1NC(=O)C1NC=O,0.0,0.0,3.0
456,CSCCNC(C)=O,0.0,0.0,3.0
457,CC(C(=O)O)N1CCC1=O,0.0,0.0,2.0
458,CC(NC(=O)CNC=O)C(=O)O,0.0,0.0,2.0
459,CCN1CC(NC=O)C1=O,0.0,0.0,2.0
460,CCNC(=O)CNC(C)=O,0.0,0.0,2.0
461,CN1C(=O)C(NC=O)C1S,0.0,0.0,3.0
462,O=C(O)CN1C(=O)CC1S,0.0,0.0,3.0
463,CC(=O)NC1C(=O)NC1S,0.0,0.0,3.0
464,NCC(=O)NCCS,0.0,0.0,2.0
465,cCC(=O)NCCS,0.0,0.0,3.0
466,O=CNC1CN(CC(=O)O)C1=O,0.0,0.0,3.0
