Substructure,Frequency1,OccurrenceList1
CC(C)(CC(=O)O)SCC(N)C=O,2,"1,0,1,0"
CC(=O)NCCSC(C)(C)C,2,"1,0,1,0"
CC(C)(CC(=O)O)SCCNC=O,2,"1,0,1,0"
CC(C)(S)CNC(=O)CNC=O,2,"1,0,1,0"
CC(C)(S)C(NC(=O)CN)C(=O)O,2,"1,0,1,0"
CC(C)SC1NC(=O)C1NC=O,2,"1,0,1,0"
CC(=O)NCC(N)SC(C)C,2,"1,0,1,0"
CC(=O)NC(C=O)CSC(C)C,2,"1,0,1,0"
CC(C)SCCNC(=O)CN,1,"1,0,0,0"
cCC(=O)NCCSC(C)C,2,"1,0,1,0"
CC(C)CN1CC(NC=O)C1=O,2,"1,0,1,0"
CC(C)C(C(=O)O)N1CC(N)C1=O,2,"1,0,1,0"
CC(=O)NCC(=O)NCC(C)C,2,"1,0,1,0"
CC(C)C(NC(=O)CNC=O)C(=O)O,2,"1,0,1,0"
CC(=O)NCCNCC(C)C,2,"1,0,1,0"
CC(C)C(NCCNC=O)C(=O)O,2,"1,0,1,0"
CC1CN2C(=O)C(NC=O)C2S1,2,"1,0,1,0"
CC1SC2C(N)C(=O)N2C1C(=O)O,2,"1,0,1,0"
CC(=O)NCC1NCC(C)S1,2,"1,0,1,0"
CC1SC(CNC=O)NC1C(=O)O,2,"1,0,1,0"
CC(CC(=O)O)SCC(C=O)NC=O,2,"1,0,1,0"
CC(=O)NCCSC(C)CC(=O)O,2,"1,0,1,0"
CC(=O)NCC(=O)NCC(C)S,2,"1,0,1,0"
CC(S)C(NC(=O)CNC=O)C(=O)O,2,"1,0,1,0"
CCSC1NC(=O)C1NC(C)=O,3,"1,1,1,0"
